SAMPLE_ANALYSIS_NO,SiO2,TiO2,Al2O3,FeOT,MgO,CaO,Na2O,K2O,P2O5,Class,Probability,Lithology,ROCK_GROUP,LITHOLOGY_NAME,GSSA_code
1622,63.50425947203144,1.4446466609751225,14.045175870591473,7.763323604130018,1.3744207816221652,4.7753597960011,3.150132302404088,3.4310358198159157,0.5116456924286893,igneous,0.9957122607218524,"Dacite, Granodiorite",Metamorphic General,Granulite,GRDI
3796,57.28415413146507,0.6902946630949928,18.648258808984128,8.396867916752525,3.461776220894292,6.3362868328868736,3.7708633834741403,1.1745312178034204,0.2369668246445497,igneous,0.9865165394807962,"Andesite, Diorite",Metamorphic General,Amphibolite,DIOR
3797,53.31686829367022,1.5485796054106942,13.511097228415448,13.653695558711087,6.807514372778558,8.366487129903415,2.2241344668314658,0.4469055237091265,0.12471782056998873,igneous,0.995114471254386,"Basaltic Andesite, Gabbroic Diorite",Metamorphic General,Amphibolite,BAAN
4391,51.391552426092154,0.8762161237398856,15.555297477629427,14.534469997910733,5.070239367708327,6.990038739947399,4.0365012441949775,1.220795498244335,0.3248891245327666,igneous,0.9930240969922686,"Trachybasalt, Monzogabbro",Metamorphic General,Amphibolite,MZGB
4393,69.95971701245894,0.5702684356182973,14.25671089045743,4.143985991517308,0.5600850706965419,1.7820888613071788,5.091682460877653,3.5030775330838244,0.13238374398281896,igneous,0.992603505344713,"Rhyolite, Granite",Metamorphic General,Gneiss,GRNT
4394,51.77066592111507,0.6863535254693283,14.90367655304827,13.568481042683885,6.422307988320142,7.010611010150997,4.176951454999053,1.2452413962086384,0.2157111080046461,igneous,0.9854224744746576,"Basaltic Trachyandesite, Monzodiorite",Metamorphic General,Amphibolite,MZDI
4395,76.1366705886829,0.22274025970093408,12.959433291690708,1.3665631815227677,0.2328648169600674,0.30373671777400085,3.705587956842813,5.042029515048415,0.030373671777400087,igneous,0.9957348696334924,"Rhyolite, Granite",Metamorphic General,Gneiss,GRNT
4405,65.8471602844386,0.6942352362257104,17.25069374863887,6.720029168945452,2.4613794738911543,1.335876893949473,1.451582766653758,4.165411417354262,0.07363100990272686,sedimentary,0.7605252539943252,Shale,Metamorphic General,Gneiss,SHLE
4408,53.221635364218166,1.00378722887327,18.402765862676613,10.819778384790403,4.579779231734293,8.364893573943915,2.6976781775969134,0.7214720707526628,0.18821010541373812,igneous,0.9957307168643449,"Basaltic Andesite, Gabbroic Diorite",Metamorphic General,Gneiss,BAAN
4409,51.08811014714134,0.41619641667732254,18.72883875047951,7.4899414830481446,8.740124750223771,10.248836760679069,2.351509754226872,0.8219879229377121,0.11445401458626367,igneous,0.9956025227542442,"Basalt, Gabbro",Metamorphic General,Amphibolite,GBRO
