SAMPLE_ANALYSIS_NO,SiO2,TiO2,Al2O3,FeOT,MgO,CaO,Na2O,K2O,P2O5,Class,Probability,Lithology,ROCK_GROUP,LITHOLOGY_NAME,GSSA_code
122,56.784537578334934,0.859441649834258,14.835599907853267,10.219041936956957,4.726929074088419,8.74788822152727,2.3123072959826465,1.4221713015114503,0.09208303391081336,igneous,0.9915823320223031,"Basaltic Andesite, Gabbroic Diorite",Igneous Mafic Extrusive,Tholeiite,BAAN
124,56.480913993851175,0.8728868526322453,15.301193063788775,9.517575781850418,4.990858945638486,9.190985095363057,2.156543988856136,1.417157478391175,0.07188479962853786,igneous,0.9899384811489436,"Basaltic Andesite, Gabbroic Diorite",Igneous Mafic Extrusive,Tholeiite,BAAN
126,55.293631937736464,0.875225086537728,15.342180928720168,10.284280247020902,5.3543181764661005,6.1265756057640965,4.386422198412612,2.244694927826173,0.09267089151575944,igneous,0.9812543575002128,"Basaltic Trachyandesite, Monzodiorite",Igneous Mafic Extrusive,Tholeiite,MZDI
128,57.149825930636474,0.9454934437053826,16.70371750546176,7.940455031219237,4.454324668123137,9.139769955818695,2.1851404032302177,1.3867237174345612,0.09454934437053823,igneous,0.9895137373887929,"Andesite, Diorite",Igneous Mafic Extrusive,Tholeiite,DIOR
130,63.50822672471518,1.107215794871679,19.42850357038984,1.8233843773687568,1.1281066589258617,3.9692641702946987,2.2771041819059064,6.7373036574738965,0.020890864054182626,igneous,0.9368334183218152,"Trachydacite, Quartz-syenite",Igneous Mafic Extrusive,Tholeiite,QZSY
773,55.04714412008956,0.2234798248093689,22.500355088761463,4.696012892659127,4.1851676282481804,8.66492229829053,4.225800323668069,0.4469596496187378,0.010158173854971309,igneous,0.9876524973613268,"Basaltic Andesite, Gabbroic Diorite",Igneous Felsic Intrusive,Anorthosite,BAAN
775,54.04816857282214,0.17046732202930914,26.06144529142201,3.0341762339165137,2.0656628434139805,10.067599489260374,4.0912157287034185,0.4512370289011124,0.01002748953113583,igneous,0.9893649724579896,"Basaltic Andesite, Gabbroic Diorite",Igneous Felsic Intrusive,Anorthosite,BAAN
776,49.208522685693,0.3804028512868241,24.257997208982854,5.318705706635892,4.2917244760564754,12.543540173201425,3.794274593604475,0.1950783852752944,0.009753919263764716,igneous,0.9934226347837594,"Basalt, Gabbro",Igneous Felsic Intrusive,Anorthosite,GBRO
777,55.26668794868578,0.14554078638172172,27.27434336793464,1.4882930577586333,0.9023528755666744,9.809449002128037,4.7640350742283575,0.33959516822401725,0.00970271909211478,igneous,0.9826928545896352,"Basaltic Andesite, Gabbroic Diorite",Igneous Felsic Intrusive,Anorthosite,BAAN
778,56.24669443664775,0.20375545892645444,20.650615762196146,6.679999811683889,5.531960709853238,6.367358091451701,4.00379476790483,0.3056331883896817,0.010187772946322723,igneous,0.9845921325256364,"Basaltic Andesite, Gabbroic Diorite",Igneous Felsic Intrusive,Anorthosite,BAAN
779,47.01908421700377,0.6514876358277207,15.869831628990884,11.031219732276883,11.72677744489897,10.892058911494704,2.6873864977893485,0.09161544878827324,0.030538482929424408,igneous,0.995195024229867,"Basalt, Gabbro",Igneous Mafic Intrusive,Dolerite,GBRO
780,52.21559663651607,0.9060420389587852,12.566409149037066,10.735162596495334,10.852807901441098,9.060420389587849,2.7575192490049982,0.7977109256050173,0.1083311133537678,igneous,0.9943099754116004,"Basaltic Andesite, Gabbroic Diorite",Igneous Mafic Intrusive,Dolerite,BAAN
781,49.551094081731826,1.4065598482243424,14.256488747359592,11.708228955746279,8.369031096934835,12.186836399258056,2.2504957571589475,0.22103083329239667,0.05023428029372653,igneous,0.996656478654392,"Basalt, Gabbro",Igneous Mafic Intrusive,Dolerite,GBRO
782,48.72048791481637,0.5754388336395636,10.842479075945462,11.372324201373198,15.21379512797934,10.468948604986446,2.5642362060429678,0.1615266901444389,0.08076334507221945,igneous,0.9954644624266098,"Basalt, Gabbro",Igneous Mafic Intrusive,Dolerite,GBRO
783,45.8666063223483,1.5272123025184978,15.22188577839161,11.421686453927126,12.348315261810749,10.529726927890696,2.521909789027256,0.27128113268420684,0.29137603140155544,igneous,0.9965420315835732,"Basalt, Gabbro",Igneous Mafic Intrusive,Dolerite,GBRO
784,46.88695884779087,0.9988829192879912,15.628986282596953,10.786638663187684,12.168210107690072,10.896904574050817,2.2298295470974354,0.30269179372363364,0.1008972645745446,igneous,0.9957609652601442,"Basalt, Gabbro",Igneous Mafic Intrusive,Dolerite,GBRO
1103,50.244569134329396,0.7695114191744146,12.78746917157483,11.913575193328795,7.695114191744144,9.56231101768206,0.31685764318946485,6.563479751781771,0.14711247719510867,igneous,0.7666625118963776,"Basaltic Trachyandesite, Monzodiorite",Igneous Mafic Extrusive,Basalt,MZDI
1128,51.24861524738236,1.029130407604636,16.112647795830153,11.130950963514833,8.472134163613923,8.212252747552151,2.349328001198462,1.2474307970965284,0.19750987620695032,igneous,0.9960748527384308,"Basalt, Gabbro",Igneous Mafic Extrusive,Basalt,GBRO
1129,51.17173763616865,1.004789180305336,15.952323068765132,11.371379106263351,8.494094101550264,9.06381992543473,2.092447571357504,0.6836709886613626,0.1657384214936637,igneous,0.996082115833714,"Basalt, Gabbro",Igneous Mafic Extrusive,Basalt,GBRO
1130,51.26198815949476,1.0065613059657874,16.08422705409248,11.204689740729421,8.04211352704624,9.391113215454,2.044253373971753,0.7886459716845345,0.1764076515610143,igneous,0.9962580130198584,"Basalt, Gabbro",Igneous Mafic Extrusive,Basalt,GBRO
1131,51.40122241074212,1.1805565309784265,15.357682305648556,11.938840711352578,7.992263240694656,7.835552196759468,2.402902673672904,1.6715844686420205,0.21939546150926506,igneous,0.9953017455927712,"Basalt, Gabbro",Igneous Mafic Extrusive,Basalt,GBRO
1502,47.707236488712596,0.7714361644983312,11.97756150142146,11.690860116638381,16.139256599372985,9.744456814715766,1.603775184088636,0.2842133237625431,0.081203806789298,igneous,0.996001069446572,"Basalt, Gabbro",Igneous Mafic Intrusive,Gabbro,GBRO
1546,48.14482796253271,1.0914187694896187,15.50426663200206,11.83988388131988,11.01618944905409,9.435162259606516,2.5296435031161253,0.40800701663163297,0.030600526247372486,igneous,0.9954606096742068,"Basalt, Gabbro",Igneous Mafic Intrusive,Gabbro,GBRO
1616,48.86563947247393,0.7400812617200409,13.483672302570607,10.399476834496982,12.672624344521244,11.760195391715715,1.7741674082329746,0.263590586366042,0.040552397902467986,igneous,0.9960493290072832,"Basalt, Gabbro",Igneous Mafic Intrusive,Gabbro,GBRO
1619,52.110486021992905,0.5868753765583663,18.516929984513983,7.238275610365068,8.701945238624056,9.71379933613848,2.8939027188912565,0.2327264424283177,0.005059270487572124,igneous,0.9949993426580956,"Basaltic Andesite, Gabbroic Diorite",Igneous Mafic Intrusive,Norite,BAAN
1620,59.34575228918218,0.3022703851741028,19.647575036316677,5.2583856069303945,2.9219470566829933,6.750705268888295,3.828758212205301,1.8640007085736328,0.08060543604642739,igneous,0.9921443813350171,"Andesite, Diorite",Igneous Mafic Intrusive,Norite,DIOR
1621,58.82616053275701,0.3217841259911495,23.530464213102803,2.1172911750672156,0.4927319429239476,8.446833307267672,4.303862685131624,1.8603144783863328,0.10055753937223423,igneous,0.975340937366118,"Andesite, Diorite",Igneous Felsic Intrusive,Anorthosite,DIOR
1925,50.494347471013526,4.105231501708417,12.315694505125249,16.160909656359866,4.228388446759669,8.77493233490174,2.319455798465255,1.0468340329356465,0.5542062527306362,igneous,0.9946906554632544,"Basalt, Gabbro",Igneous Mafic Intrusive,Dolerite,GBRO
1927,52.72316556137128,0.27375489810712,5.272316556137127,7.754738408200803,21.089266224548503,12.26827506331908,0.5170925853134488,0.09125163270237337,0.010139070300263705,igneous,0.9955686752546116,"Basaltic Andesite, Gabbroic Diorite",Igneous Ultramafic Intrusive,Pyroxenite,BAAN
2619,49.62782569391499,0.6153043429530111,14.323478147430748,9.802435496953695,12.810434681152847,9.93565209522485,1.8963478110682959,0.8876521668830321,0.1008695644185264,igneous,0.9950718974575584,"Basalt, Gabbro",Igneous Mafic Intrusive,Gabbro,GBRO
2621,52.545513049038526,0.4699192223897751,15.058775081126884,9.465789813678967,14.524775964774868,5.286591251884972,1.8583169249050195,0.7262387982387434,0.06407989396224206,igneous,0.96727144590193,"Basaltic Andesite, Gabbroic Diorite",Igneous Mafic Intrusive,Gabbro,BAAN
2624,61.06525525394982,1.6440645645294183,13.581402924373453,9.464121558274394,2.0627393915213816,5.514253818918546,2.3078173390288725,3.7987081863661087,0.5616369630380001,igneous,0.9893703994633126,"Andesite, Diorite",Igneous Mafic Intrusive,Dolerite,DIOR
2649,50.5755081404441,1.58174397969118,13.903227337412915,11.694356802591125,7.757597862179673,11.888266853729892,2.115708507867184,0.3727676894813609,0.11082282660256673,igneous,0.9962597441563006,"Basalt, Gabbro",Igneous Mafic Intrusive,Gabbro,GBRO
2652,49.57016547881463,0.42575602251742617,12.265828267763949,9.303830155633051,16.422018011386434,10.035677673625042,1.3583644527936931,0.5474006003795481,0.07095933708623771,igneous,0.9960900078825562,"Basalt, Gabbro",Igneous Mafic Intrusive,Gabbro,GBRO
2654,49.1763425951044,0.4856922725442409,14.87432584666738,9.46898411555575,13.45772338508001,9.916217231111588,1.7707530769842117,0.7588941758503766,0.09106730110204518,igneous,0.99489005199838,"Basalt, Gabbro",Igneous Mafic Intrusive,Gabbro,GBRO
2656,49.50234936795744,0.4454199125133185,16.602014920950968,8.607932496130925,11.337961409429926,10.528107023042072,2.0246359659696296,0.8503471057072445,0.10123179829848146,igneous,0.9953536985706596,"Basalt, Gabbro",Igneous Mafic Intrusive,Gabbro,GBRO
2673,50.20460034997814,1.9207832927420785,14.736168118920705,12.619604492082589,6.4026109758069305,11.179162021250193,2.418764146415952,0.35570060976705153,0.16260599303636644,igneous,0.9959518695083892,"Basalt, Gabbro",Meta-Igneous Mafic,Metagabbro,GBRO
2941,53.06242726282602,1.9388194576801805,14.286038109222385,10.651035939749113,6.020544631743722,9.438989465021931,3.1633370098992435,1.1326787358026322,0.30612938805476536,igneous,0.9959183208114312,"Basaltic Andesite, Gabbroic Diorite",Igneous Mafic Intrusive,Gabbro,BAAN
2943,49.784649600352274,0.3721276838814209,14.985682404954515,8.325842200563457,13.275906560093933,10.761530317651902,1.6896608349210462,0.7241403578233054,0.08046003975814506,igneous,0.9948365946539472,"Basalt, Gabbro",Igneous Mafic Intrusive,Gabbro,GBRO
2945,50.55583615222948,2.1361620909392736,13.223860562957409,13.638018323455071,6.967957296635249,10.579088450365926,2.197195293537539,0.5187822220852522,0.18309960779479484,igneous,0.9963087427703736,"Basalt, Gabbro",Igneous Mafic Intrusive,Gabbro,GBRO
2990,50.30100938327959,1.636053032466265,15.242730116145324,11.61248896651196,6.503564849555339,11.990947691367653,2.133982216260345,0.426796443252069,0.15242730116145325,igneous,0.9960408076255279,"Basalt, Gabbro",Igneous Mafic Intrusive,Dolerite,GBRO
3518,73.15255211198587,0.306505106614466,14.405740010879905,1.67316179807931,0.4801913336959968,1.0932015469249288,4.413673535248312,4.393239861474013,0.08173469509719095,igneous,0.9805544393806184,"Rhyolite, Granite",Igneous Felsic Extrusive,Rhyolite,GRNT
3520,74.23690150728794,0.2933065590887396,13.755066219333994,1.6108204546462181,0.4753589061093368,1.3552785833755556,4.086063788684511,4.1062918272423525,0.08091215423137647,igneous,0.9792903952546024,"Rhyolite, Granite",Igneous Felsic,Granophyre,GRNT
3522,75.49150062782304,0.23431909776517285,13.346000785755491,1.2192186116906545,0.28525803206194955,0.988215325357468,3.8306078591176087,4.5641285129911955,0.040751147437421364,igneous,0.9941435719677568,"Rhyolite, Granite",Igneous Felsic,Granophyre,GRNT
3524,74.76599300252259,0.2339616107561933,13.630806887534744,1.308889236670152,0.32551180626948634,1.4546308842667668,4.2926869451788505,3.9468306510175215,0.04068897578368578,igneous,0.9808149458354964,"Rhyolite, Granite",Igneous Felsic,Granophyre,GRNT
3526,73.60368094033981,0.2948213739323002,14.131093440203367,1.6923211749881297,0.4371489337616865,1.362278072652698,4.330824320522757,4.086834217958093,0.06099752564116556,igneous,0.9724901105872132,"Rhyolite, Granite",Igneous Felsic Extrusive,Rhyodacite,GRNT
3542,79.13716436610976,0.15179762985826678,11.233024609511745,1.0836044633580708,0.0505992099527556,0.06071905194330673,3.926498692333833,4.351532055936981,0.00505992099527556,igneous,0.9789835591957508,"Rhyolite, Granite",Igneous Felsic,Granophyre,GRNT
3547,78.26542625930398,0.17234614590779382,11.354569612748762,1.423073545033407,0.040552034331245566,0.060828051496868374,4.156583518952672,4.521551827933883,0.0050690042914056975,igneous,0.9933430984641134,"Rhyolite, Granite",Igneous Felsic Intrusive,Granite,GRNT
3554,70.0706967075319,0.5569202772997477,14.884960138738705,2.8427261692531047,0.7594367417723831,1.812522357030088,4.597123743528826,4.313600693267137,0.1620131715781084,igneous,0.9928465944952816,"Rhyolite, Granite",Igneous Felsic Extrusive,Rhyolite,GRNT
